Orig,Dest,Departs,Arrives,Fleet,Flight,DOW,Start Date,End Date,Orig Lat,Orig Lng,Dest Lat,Dest Lng,Orig--Lat,Orig--Lng,Dest--Lat,Dest--Lng
ATL,LIM,15:30,21:40,A350,DL0151,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,-12.0219,-77.1143,33.6407,-84.4277,-12.0219,-77.1143
ATL,SCL,21:05,7:20,A350,DL0147,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,-33.393,-70.7858,33.6407,-84.4277,-33.393,-70.7858
JFK,BOG,12:45,17:45,B767,DL0253,DAILY,29-Oct-23,31-Oct-23,40.6413,-73.7781,4.7017,-74.1469,40.6413,-73.7781,4.7017,-74.1469
JFK,EZE,21:59,10:15,B767,DL0115,DAILY,28-Oct-23,31-Oct-23,40.6413,-73.7781,-34.8222,-58.5358,40.6413,-73.7781,-34.8222,-58.5358
JFK,GRU,22:30,9:55,B767,DL0227,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,-23.4356,-46.4731,40.6413,-73.7781,-23.4356,-46.4731
ACC,JFK,21:50,5:15,B767,DL0157,DAILY,1-Oct-23,31-Oct-23,5.6052,-0.1668,40.6413,-73.7781,5.6052,-0.1668,40.6413,-73.7781
AMS,ATL,8:25,12:15,A330,DL0071,DAILY,1-Oct-23,28-Oct-23,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277
AMS,ATL,10:35,16:00,A330,DL0073,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277
AMS,ATL,12:50,17:50,A350,DL0075,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277
AMS,BOS,14:50,16:55,A330,DL0257,DAILY,1-Oct-23,28-Oct-23,52.3105,4.7683,42.3656,-71.0096,52.3105,4.7683,42.3656,-71.0096
AMS,BOS,11:30,14:30,A330,DL0259,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,42.3656,-71.0096,52.3105,4.7683,42.3656,-71.0096
AMS,DTW,7:55,14:10,A350,DL0133,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554
AMS,DTW,10:15,17:00,A330,DL0135,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554
AMS,DTW,13:30,18:45,A330,DL0137,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554
AMS,JFK,8:55,13:25,A330,DL0047,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,40.6413,-73.7781,52.3105,4.7683,40.6413,-73.7781
AMS,JFK,11:40,15:20,A330,DL0049,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,40.6413,-73.7781,52.3105,4.7683,40.6413,-73.7781
AMS,MCO,12:15,17:50,A330,DL0037,DAILY,29-Oct-23,31-Oct-23,52.3105,4.7683,28.4294,-81.3089,52.3105,4.7683,28.4294,-81.3089
AMS,MSP,12:40,16:15,A330,DL0163,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223
AMS,MSP,15:20,17:45,A330,DL0165,DAILY,1-Oct-23,28-Oct-23,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223
AMS,MSP,10:35,13:45,A330,DL0161,DAILY,2-Oct-23,31-Oct-23,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223
AMS,PDX,9:10,11:55,A330,DL0179,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,45.5898,-122.5951,52.3105,4.7683,45.5898,-122.5951
AMS,SEA,10:00,12:55,A330,DL0143,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,47.4502,-122.3088,52.3105,4.7683,47.4502,-122.3088
AMS,SEA,14:35,16:05,A330,DL0145,DAILY,1-Oct-23,28-Oct-23,52.3105,4.7683,47.4502,-122.3088,52.3105,4.7683,47.4502,-122.3088
AMS,SLC,8:45,12:45,A330,DL0057,DAILY,1-Oct-23,31-Oct-23,52.3105,4.7683,40.7899,-111.9791,52.3105,4.7683,40.7899,-111.9791
ARN,JFK,10:20,13:10,B767,DL0205,DAILY,1-Oct-23,28-Oct-23,59.6519,17.9186,40.6413,-73.7781,59.6519,17.9186,40.6413,-73.7781
ATH,ATL,12:50,18:00,A350,DL0223,DAILY,1-Oct-23,28-Oct-23,37.9356,23.9484,33.6407,-84.4277,37.9356,23.9484,33.6407,-84.4277
ATH,BOS,11:10,14:50,A330,DL0241,12.4.6.,2-Oct-23,28-Oct-23,37.9356,23.9484,42.3656,-71.0096,37.9356,23.9484,42.3656,-71.0096
ATH,JFK,10:20,16:00,A330,DL0203,DAILY,1-Oct-23,31-Oct-23,37.9356,23.9484,40.6413,-73.7781,37.9356,23.9484,40.6413,-73.7781
ATH,JFK,15:15,19:35,B767,DL0213,12.4.6.,2-Oct-23,28-Oct-23,37.9356,23.9484,40.6413,-73.7781,37.9356,23.9484,40.6413,-73.7781
BCN,ATL,9:55,15:35,A350,DL0195,DAILY,1-Oct-23,31-Oct-23,41.2974,2.0833,33.6407,-84.4277,41.2974,2.0833,33.6407,-84.4277
BCN,JFK,8:15,17:15,B767,DL0169,DAILY,1-Oct-23,31-Oct-23,41.2974,2.0833,40.6413,-73.7781,41.2974,2.0833,40.6413,-73.7781
BER,JFK,10:20,13:30,B767,DL0093,DAILY,1-Oct-23,28-Oct-23,52.3667,13.5033,40.6413,-73.7781,52.3667,13.5033,40.6413,-73.7781
BRU,JFK,11:00,14:29,B767,DL0141,DAILY,1-Oct-23,31-Oct-23,50.9014,4.4844,40.6413,-73.7781,50.9014,4.4844,40.6413,-73.7781
CDG,ATL,9:00,14:25,A350,DL0083,DAILY,1-Oct-23,31-Oct-23,49.0097,2.5479,33.6407,-84.4277,49.0097,2.5479,33.6407,-84.4277
